PhraseId	SentenceId	Phrase	Sentiment
168	6	comedy-drama nearly epic proportions	3
170	6	comedy-drama	2
172	6	nearly epic proportions	2
173	6	nearly epic	4
174	6	nearly	2
175	6	epic	3
176	6	proportions	2
178	6	rooted sincere performance title character undergoing midlife crisis	3
179	6	rooted sincere performance	3
180	6	rooted	3
184	6	sincere performance	4
185	6	sincere	3
186	6	performance	2
189	6	title character undergoing midlife crisis	2
191	6	title character	2
192	6	title	2
193	6	character	2
194	6	undergoing midlife crisis	2
195	6	undergoing	2
196	6	midlife crisis	1
197	6	midlife	2
198	6	crisis	2
199	7	narratively trouble every day plodding mess	1
200	7	narratively	2
202	7	trouble every day plodding mess	0
203	7	trouble every day	2
204	7	trouble	1
205	7	every day	2
206	7	every	2
207	7	day	2
211	7	plodding mess	0
212	7	plodding	1
213	7	mess	1
214	8	importance earnest thick wit plays like reading bartlett 's familiar quotations	3
216	8	importance	3
220	8	earnest thick wit plays like reading bartlett 's familiar quotations	2
222	8	earnest	3
225	8	thick wit plays like reading bartlett 's familiar quotations	3
226	8	thick	2
229	8	wit plays like reading bartlett 's familiar quotations	2
230	8	wit	2
233	8	plays like reading bartlett 's familiar quotations	3
234	8	plays	2
235	8	like reading bartlett 's familiar quotations	2
236	8	like	2
237	8	reading bartlett 's familiar quotations	2
239	8	reading	2
242	8	bartlett 's familiar quotations	2
243	8	bartlett 's	2
244	8	bartlett	2
245	8	familiar quotations	2
246	8	familiar	2
247	8	quotations	2
251	9	n't leave much	1
254	9	n't	2
255	9	leave much	2
257	9	leave	1
259	9	much	2
262	10	could hate reason	0
263	10	could	2
264	10	hate reason	1
266	10	hate	0
271	10	reason	2
275	11	's little recommend snow dogs unless one considers cliched dialogue perverse escapism source high hilarity	1
277	11	's little recommend snow dogs	1
278	11	little recommend snow dogs	2
279	11	little	2
281	11	recommend snow dogs	4
282	11	recommend	3
283	11	snow dogs	2
284	11	snow	2
285	11	dogs	2
286	11	unless one considers cliched dialogue perverse escapism source high hilarity	1
287	11	unless	2
288	11	one considers cliched dialogue perverse escapism source high hilarity	2
289	11	considers cliched dialogue perverse escapism source high hilarity	2
290	11	considers	2
291	11	cliched dialogue perverse escapism source high hilarity	1
292	11	cliched dialogue perverse escapism	1
294	11	cliched dialogue	1
295	11	cliched	1
296	11	dialogue	2
297	11	perverse escapism	2
298	11	perverse	1
299	11	escapism	2
300	11	source high hilarity	3
302	11	source	2
304	11	high hilarity	4
305	11	high	3
306	11	hilarity	3
307	12	kung pow oedekerk 's realization childhood dream martial-arts flick proves sometimes dreams youth remain	1
308	12	kung pow	2
309	12	kung	2
310	12	pow	3
312	12	oedekerk 's realization childhood dream martial-arts flick proves sometimes dreams youth remain	0
316	12	oedekerk 's realization childhood dream martial-arts flick	2
317	12	oedekerk 's realization childhood dream	2
318	12	oedekerk 's realization	2
319	12	oedekerk 's	2
320	12	oedekerk	2
321	12	realization	2
325	12	childhood dream	2
326	12	childhood	2
327	12	dream	3
333	12	martial-arts flick	2
334	12	martial-arts	2
335	12	flick	2
336	12	proves sometimes dreams youth remain	1
337	12	proves	2
339	12	sometimes dreams youth remain	1
340	12	sometimes	2
341	12	dreams youth remain	2
342	12	dreams youth	3
344	12	dreams	2
346	12	youth	2
350	12	remain	2
353	13	performances absolute joy	4
355	13	performances	2
361	13	absolute joy	3
362	13	absolute	2
363	13	joy	4
364	14	fresnadillo something serious say ways extravagant chance distort perspective throw us path good sense	3
365	14	fresnadillo	2
369	14	something serious say ways extravagant chance distort perspective throw us path good sense	3
370	14	something	2
371	14	serious say ways extravagant chance distort perspective throw us path good sense	2
372	14	serious	2
374	14	say ways extravagant chance distort perspective throw us path good sense	2
375	14	say	2
378	14	ways extravagant chance distort perspective throw us path good sense	1
380	14	ways	2
383	14	extravagant chance distort perspective throw us path good sense	2
384	14	extravagant chance	2
385	14	extravagant	4
386	14	chance	2
389	14	distort perspective throw us path good sense	2
391	14	distort perspective	2
392	14	distort	2
395	14	perspective	2
396	14	throw us path good sense	2
397	14	throw us	2
398	14	throw	2
399	14	us	3
402	14	path good sense	2
404	14	path	2
406	14	good sense	3
407	14	sense	2
409	15	still like moonlight mile better judgment damned	3
410	15	still	2
412	15	like moonlight mile better judgment damned	2
413	15	moonlight mile better judgment damned	2
414	15	moonlight mile better judgment	2
415	15	moonlight	2
416	15	mile better judgment	2
417	15	mile	2
419	15	better judgment	2
420	15	better	4
421	15	judgment	2
423	15	damned	1
424	16	welcome relief baseball movies try hard mythic one sweet modest ultimately winning story	3
425	16	welcome relief baseball movies try hard mythic	3
427	16	welcome relief	3
428	16	welcome	2
429	16	relief	2
431	16	baseball movies try hard mythic	0
432	16	baseball movies	2
433	16	baseball	2
434	16	movies	2
436	16	try hard mythic	1
437	16	try	2
440	16	hard mythic	1
443	16	mythic	2
445	16	one sweet modest ultimately winning story	4
448	16	sweet modest ultimately winning story	3
451	16	sweet modest	3
453	16	sweet	4
454	16	modest	3
455	16	ultimately winning story	4
456	16	ultimately	2
457	16	winning story	3
458	16	winning	3
459	17	bilingual charmer like woman inspired	3
462	17	bilingual charmer	3
463	17	bilingual	2
464	17	charmer	3
466	17	like woman inspired	2
467	17	woman inspired	2
469	17	woman	2
473	17	inspired	3
474	18	like less dizzily gorgeous companion mr wong 's mood love much hong kong movie despite mainland setting	2
475	18	like less dizzily gorgeous companion mr	3
476	18	less dizzily gorgeous companion mr	2
478	18	less dizzily gorgeous companion	2
479	18	less dizzily gorgeous	2
480	18	less	2
481	18	dizzily gorgeous	4
482	18	dizzily	2
483	18	gorgeous	3
484	18	companion	3
486	18	mr	2
487	18	wong 's mood love much hong kong movie despite mainland setting	2
488	18	wong	2
490	18	's mood love much hong kong movie despite mainland setting	2
491	18	's mood love much hong kong movie	2
493	18	mood love much hong kong movie	2
495	18	mood	2
497	18	love much hong kong movie	3
498	18	love much	4
500	18	love	4
502	18	much	2
505	18	hong kong movie	2
506	18	hong	2
507	18	kong movie	2
508	18	kong	2
509	18	movie	2
510	18	despite mainland setting	2
511	18	despite	2
514	18	mainland setting	2
515	18	mainland	2
516	18	setting	2
518	19	inept big-screen remakes avengers wild wild west	2
521	19	inept	1
523	19	big-screen remakes avengers wild wild west	2
524	19	big-screen remakes	2
525	19	big-screen	2
526	19	remakes	2
528	19	avengers wild wild west	2
531	19	avengers	2
533	19	wild wild west	2
534	19	wild	3
535	19	wild west	2
536	19	west	2
539	20	's everything 'd expect nothing	2
540	20	everything 'd expect nothing	1
541	20	everything	2
543	20	'd expect nothing	2
544	20	'd	2
546	20	expect nothing	2
548	20	expect	2
550	20	nothing	1
552	21	best indie year far	4
553	21	best	4
555	21	indie year far	4
557	21	indie year	3
558	21	indie	2
561	21	year	2
563	21	far	2
565	22	hatfield hicks make oddest couples sense movie becomes study gambles publishing world offering case study exists apart movie 's political ramifications	3
568	22	hatfield hicks make oddest couples	2
569	22	hatfield hicks	2
571	22	hatfield	2
572	22	hicks	2
573	22	make oddest couples	2
574	22	make	2
575	22	oddest couples	2
577	22	oddest	1
579	22	couples	2
580	22	sense movie becomes study gambles publishing world offering case study exists apart movie 's political ramifications	3
582	22	sense	2
583	22	movie becomes study gambles publishing world offering case study exists apart movie 's political ramifications	2
584	22	movie	2
585	22	becomes study gambles publishing world offering case study exists apart movie 's political ramifications	2
587	22	becomes study gambles publishing world	2
588	22	becomes	2
589	22	study gambles publishing world	2
591	22	study	2
593	22	gambles publishing world	2
595	22	gambles	2
598	22	publishing world	2
599	22	publishing	2
600	22	world	2
601	22	offering case study exists apart movie 's political ramifications	2
602	22	offering	2
603	22	case study exists apart movie 's political ramifications	3
605	22	case study	2
606	22	case	2
608	22	exists apart movie 's political ramifications	2
609	22	exists apart	2
610	22	exists	2
611	22	apart	2
614	22	movie 's political ramifications	2
616	22	movie 's	2
617	22	political ramifications	2
618	22	political	2
619	22	ramifications	2
622	23	's like going house party watching host defend frothing ex-girlfriend	1
623	23	like going house party watching host defend frothing ex-girlfriend	1
624	23	going house party watching host defend frothing ex-girlfriend	1
626	23	going house party	2
627	23	going	2
630	23	house party	2
631	23	house	2
632	23	party	2
633	23	watching host defend frothing ex-girlfriend	2
634	23	watching	2
635	23	host defend frothing ex-girlfriend	2
637	23	host	2
638	23	defend frothing ex-girlfriend	2
640	23	defend	2
645	23	frothing ex-girlfriend	2
646	23	frothing	1
647	23	ex-girlfriend	2
648	24	chuck norris grenade gag occurs times windtalkers good indication serious-minded film	2
651	24	chuck norris grenade gag	2
652	24	chuck	2
653	24	norris grenade gag	2
654	24	norris	2
657	24	grenade gag	2
658	24	grenade	1
660	24	gag	1
663	24	occurs times windtalkers good indication serious-minded film	3
664	24	occurs	2
665	24	times windtalkers good indication serious-minded film	2
666	24	times windtalkers	2
670	24	times	2
673	24	windtalkers	2
675	24	good indication serious-minded film	3
677	24	good indication	3
678	24	indication	2
683	24	serious-minded film	3
684	24	serious-minded	2
686	24	film	2
687	25	plot romantic comedy boilerplate start finish	2
689	25	plot	2
692	25	romantic comedy boilerplate start finish	2
693	25	romantic comedy boilerplate start	2
694	25	romantic comedy boilerplate	1
695	25	romantic	2
696	25	comedy boilerplate	2
697	25	comedy	3
698	25	boilerplate	2
700	25	start	2
702	25	finish	2
705	26	arrives impeccable pedigree mongrel pep almost indecipherable plot complications	2
706	26	arrives	2
708	26	impeccable pedigree mongrel pep almost indecipherable plot complications	1
709	26	impeccable pedigree mongrel pep almost	2
713	26	impeccable pedigree mongrel pep	3
714	26	impeccable	4
715	26	pedigree mongrel pep	2
716	26	pedigree	2
718	26	mongrel pep	2
719	26	mongrel	1
720	26	pep	2
721	26	almost	2
722	26	indecipherable plot complications	1
723	26	indecipherable	2
724	26	plot complications	2
725	26	complications	1
726	27	film clearly means preach exclusively converted	2
727	27	film clearly means	2
728	27	film	2
730	27	clearly means	2
731	27	clearly	2
733	27	means	2
735	27	preach exclusively converted	2
736	27	preach exclusively	2
737	27	preach	2
738	27	exclusively	2
741	27	converted	2
742	28	importance earnest offers opportunities occasional smiles chuckles n't give us reason theater beyond wilde 's wit actors ' performances	1
745	28	importance earnest offers opportunities occasional smiles chuckles	3
746	28	importance earnest	3
748	28	earnest	2
749	28	offers opportunities occasional smiles chuckles	2
751	28	offers opportunities occasional smiles	3
752	28	offers	2
753	28	opportunities occasional smiles	2
754	28	opportunities	2
756	28	occasional smiles	3
757	28	occasional	2
758	28	smiles	2
759	28	chuckles	1
763	28	n't give us reason theater beyond wilde 's wit actors ' performances	1
764	28	give us reason theater beyond wilde 's wit actors ' performances	1
765	28	give us	2
766	28	give	3
768	28	reason theater beyond wilde 's wit actors ' performances	2
770	28	theater beyond wilde 's wit actors ' performances	2
774	28	theater	3
775	28	beyond wilde 's wit actors ' performances	2
776	28	beyond	2
777	28	wilde 's wit actors ' performances	2
779	28	wilde 's wit	2
780	28	wilde 's	2
781	28	wilde	2
782	28	actors ' performances	2
784	28	actors '	2
785	28	actors	2
786	28	'	2
787	29	latest vapid actor 's exercise appropriate structure arthur schnitzler 's reigen	1
789	29	latest	2
791	29	vapid actor 's exercise appropriate structure arthur schnitzler 's reigen	1
792	29	vapid actor 's exercise	1
793	29	vapid	1
794	29	actor 's exercise	2
795	29	actor 's	2
796	29	actor	2
797	29	exercise	2
799	29	appropriate structure arthur schnitzler 's reigen	2
800	29	appropriate structure	2
801	29	appropriate	3
803	29	structure	2
805	29	arthur schnitzler 's reigen	3
806	29	arthur schnitzler 's	2
807	29	arthur	2
808	29	schnitzler 's	2
809	29	schnitzler	2
810	29	reigen	2
812	30	vaudeville show well-constructed narrative terms 's inoffensive actually rather sweet	3
815	30	vaudeville show well-constructed narrative	1
817	30	vaudeville	2
818	30	show well-constructed narrative	3
819	30	show	2
822	30	well-constructed narrative	4
823	30	well-constructed	3
824	30	narrative	2
825	30	terms 's inoffensive actually rather sweet	3
830	30	terms	2
832	30	's inoffensive actually rather sweet	3
833	30	inoffensive actually rather sweet	3
834	30	inoffensive actually	2
836	30	inoffensive	1
837	30	actually	2
838	30	rather sweet	3
839	30	rather	2
840	31	nothing run-of-the-mill action flick	2
841	31	run-of-the-mill action flick	2
845	31	run-of-the-mill action	1
846	31	run-of-the-mill	1
847	31	action	2
848	31	flick	2
850	32	hampered paralyzed self-indulgent script aims poetry ends sounding like satire	1
852	32	hampered paralyzed self-indulgent script	1
853	32	hampered paralyzed	2
854	32	hampered	2
860	32	paralyzed	2
863	32	self-indulgent script	2
864	32	self-indulgent	1
865	32	script	2
868	32	aims poetry ends sounding like satire	1
870	32	aims poetry	2
871	32	aims	2
873	32	poetry	3
874	32	ends sounding like satire	1
876	32	ends	2
878	32	sounding like satire	2
879	32	sounding	3
880	32	like satire	2
881	32	satire	2
883	33	ice age first computer-generated feature cartoon feel like movies makes glacial pacing early	2
886	33	ice age first computer-generated feature cartoon feel like movies	3
887	33	ice age	2
888	33	ice	2
889	33	age	2
891	33	first computer-generated feature cartoon feel like movies	4
893	33	first computer-generated feature cartoon	3
894	33	first	2
895	33	computer-generated feature cartoon	2
896	33	computer-generated	2
897	33	feature cartoon	2
898	33	feature	2
899	33	cartoon	2
901	33	feel like movies	2
902	33	feel	2
903	33	like movies	2
904	33	movies	2
907	33	makes glacial pacing early	1
908	33	makes glacial pacing	1
909	33	makes	2
912	33	glacial pacing	2
913	33	glacial	2
914	33	pacing	2
916	33	early	2
918	34	's little sense 's going makers serve cliches considerable dash	1
922	34	's little sense 's going	1
923	34	little sense 's going	1
924	34	little sense	1
925	34	little	2
928	34	's going	2
930	34	going	2
932	34	makers serve cliches considerable dash	2
934	34	makers	2
935	34	serve cliches considerable dash	2
937	34	serve	2
938	34	cliches considerable dash	1
940	34	cliches	2
942	34	considerable dash	2
943	34	considerable	3
944	34	dash	2
945	35	cattaneo followed runaway success first film full monty something different	2
946	35	cattaneo	2
950	35	followed runaway success first film full monty something different	2
951	35	followed runaway success first film full monty	3
952	35	followed	2
953	35	runaway success first film full monty	4
955	35	runaway success	3
956	35	runaway	2
957	35	success	3
960	35	first film full monty	2
963	35	first film	2
965	35	full monty	2
966	35	full	3
967	35	monty	2
969	35	something different	3
970	35	different	2
974	36	're unnamed easily substitutable forces serve whatever terror heroes horror movies try avoid	2
975	36	're	2
976	36	unnamed easily substitutable forces serve whatever terror heroes horror movies try avoid	1
978	36	unnamed easily substitutable forces	2
979	36	unnamed easily substitutable	1
980	36	unnamed	2
982	36	easily substitutable	2
983	36	easily	3
984	36	substitutable	1
985	36	forces	2
987	36	serve whatever terror heroes horror movies try avoid	2
989	36	whatever terror heroes horror movies try avoid	1
990	36	whatever	1
991	36	terror heroes horror movies try avoid	1
992	36	terror	1
993	36	heroes horror movies try avoid	1
994	36	heroes horror movies	2
996	36	heroes	3
998	36	horror movies	2
999	36	horror	1
1000	36	try avoid	1
1002	36	avoid	0
1004	37	almost feels movie interested entertaining amusing us	0
1006	37	feels movie interested entertaining amusing us	1
1007	37	feels	2
1011	37	movie interested entertaining amusing us	1
1013	37	interested entertaining amusing us	1
1015	37	interested entertaining	3
1016	37	interested	3
1018	37	entertaining	3
1022	37	amusing us	3
1023	37	amusing	4
1024	38	movie 's progression rambling incoherence gives new meaning phrase fatal script error '	0
1025	38	movie 's progression rambling incoherence	0
1026	38	movie 's progression	3
1027	38	progression	2
1030	38	rambling incoherence	1
1031	38	rambling	1
1032	38	incoherence	1
1033	38	gives new meaning phrase fatal script error '	0
1035	38	gives new meaning phrase fatal script error	1
1036	38	gives new meaning	2
1037	38	gives	2
1038	38	new meaning	2
1039	38	new	3
1040	38	meaning	2
1043	38	phrase fatal script error	1
1044	38	phrase	2
1047	38	fatal script error	0
1048	38	fatal	2
1049	38	script error	1
1050	38	error	1
1052	39	n't judge one soon - 's dark gritty story takes totally unexpected directions keeps going	2
1053	39	n't judge one soon -	2
1054	39	n't judge one soon	3
1055	39	n't	1
1057	39	judge one soon	2
1058	39	judge one	2
1059	39	judge	2
1061	39	soon	2
1062	39	-	2
1063	39	's dark gritty story takes totally unexpected directions keeps going	2
1066	39	's dark gritty story	3
1068	39	dark gritty story	2
1069	39	dark	2
1071	39	gritty story	2
1072	39	gritty	3
1074	39	takes totally unexpected directions keeps going	2
1076	39	takes totally unexpected directions	3
1078	39	takes	2
1080	39	totally unexpected directions	3
1081	39	totally unexpected	2
1082	39	totally	2
1083	39	unexpected	2
1084	39	directions	2
1085	39	keeps going	2
1086	39	keeps	2
1087	39	going	2
1090	40	could young romantics date	3
1091	40	young romantics date	2
1092	40	young romantics	4
1093	40	young	2
1094	40	romantics	3
1099	40	date	2
1101	41	tartakovsky 's team freakish powers visual charm five writers slip modern rut narrative banality	1
1104	41	tartakovsky 's team freakish powers visual charm	3
1105	41	tartakovsky 's team	2
1106	41	tartakovsky 's	2
1107	41	tartakovsky	2
1108	41	team	3
1110	41	freakish powers visual charm	2
1112	41	freakish powers	2
1113	41	freakish	3
1114	41	powers	2
1116	41	visual charm	3
1117	41	visual	2
1118	41	charm	3
1119	41	five writers slip modern rut narrative banality	2
1121	41	five writers	2
1122	41	five	2
1123	41	writers	2
1124	41	slip modern rut narrative banality	1
1125	41	slip	2
1127	41	modern rut narrative banality	1
1129	41	modern rut	2
1130	41	modern	2
1131	41	rut	1
1133	41	narrative banality	1
1134	41	banality	1
1135	42	vincent gallo right home french shocker playing usual bad boy weirdo role	3
1136	42	vincent gallo	2
1137	42	vincent	2
1138	42	gallo	2
1140	42	right home french shocker playing usual bad boy weirdo role	3
1142	42	right home french shocker	3
1143	42	right home	3
1144	42	right	3
1147	42	home	2
1150	42	french shocker	3
1151	42	french	2
1152	42	shocker	2
1153	42	playing usual bad boy weirdo role	2
1154	42	playing	2
1156	42	usual bad boy weirdo role	2
1157	42	usual	2
1158	42	bad boy weirdo role	2
1159	42	bad	0
1160	42	boy weirdo role	2
1161	42	boy	2
1162	42	weirdo role	2
1163	42	weirdo	2
1164	42	role	2
1165	43	horror movie 's primary goal frighten disturb works spectacularly well shiver-inducing nerve-rattling ride	4
1167	43	horror movie 's primary goal frighten disturb	2
1168	43	horror movie 's primary goal	2
1170	43	horror movie 's	2
1171	43	primary goal	2
1172	43	primary	2
1173	43	goal	3
1176	43	frighten disturb	2
1178	43	frighten	2
1179	43	disturb	1
1185	43	works spectacularly well shiver-inducing nerve-rattling ride	4
1187	43	works spectacularly well	3
1188	43	works	2
1189	43	spectacularly well	4
1190	43	spectacularly	4
1191	43	well	3
1192	43	shiver-inducing nerve-rattling ride	2
1195	43	shiver-inducing	3
1196	43	nerve-rattling ride	2
1197	43	nerve-rattling	2
1198	43	ride	2
1199	44	100-minute movie minutes decent material	1
1201	44	100-minute movie	2
1202	44	100-minute	2
1207	44	minutes decent material	1
1211	44	minutes	2
1213	44	decent material	3
1214	44	decent	3
1215	44	material	2
1216	45	fortunately still option	2
1217	45	fortunately	2
1220	45	still option	2
1224	45	option	2
1225	46	less sensational true-crime hell-jaunt purists might like experimental storytelling -lrb- though less horrifying -rrb-	3
1227	46	sensational true-crime hell-jaunt purists might like experimental storytelling -lrb- though less horrifying -rrb-	4
1228	46	sensational true-crime hell-jaunt purists might like experimental storytelling	3
1230	46	sensational true-crime	4
1231	46	sensational	4
1232	46	true-crime	2
1233	46	hell-jaunt purists might like experimental storytelling	2
1234	46	hell-jaunt purists	1
1235	46	hell-jaunt	1
1236	46	purists	2
1237	46	might like experimental storytelling	3
1238	46	might	2
1239	46	like experimental storytelling	2
1240	46	like	2
1241	46	experimental storytelling	3
1243	46	experimental	2
1246	46	storytelling	2
1247	46	-lrb- though less horrifying -rrb-	2
1248	46	-lrb-	1
1249	46	though less horrifying -rrb-	2
1251	46	though	2
1252	46	less horrifying -rrb-	2
1253	46	less horrifying	2
1255	46	horrifying	1
1257	46	-rrb-	3
1258	47	tricky satisfying david mamet 's airless cinematic shell games	3
1260	47	tricky satisfying david	3
1261	47	tricky satisfying	3
1263	47	tricky	2
1264	47	satisfying	4
1269	47	david	2
1270	47	mamet 's airless cinematic shell games	3
1271	47	mamet 's	2
1272	47	mamet	2
1274	47	airless cinematic shell games	2
1275	47	airless	2
1276	47	cinematic shell games	2
1277	47	cinematic	3
1278	47	shell games	2
1279	47	shell	2
1280	47	games	2
1283	48	'm sure filmmaker would disagree honestly n't see point	0
1284	48	'm	2
1285	48	sure filmmaker would disagree honestly n't see point	1
1286	48	sure	2
1287	48	filmmaker would disagree honestly n't see point	1
1291	48	filmmaker would disagree	1
1293	48	filmmaker	2
1294	48	would disagree	2
1295	48	disagree	3
1296	48	honestly n't see point	0
1297	48	honestly	3
1300	48	n't see point	1
1301	48	see point	2
1302	48	see	2
1304	48	point	2
1305	49	jones tackled meaty subject drawn engaging characters peppering pages memorable zingers	4
1306	49	jones	2
1309	49	tackled meaty subject drawn engaging characters peppering pages memorable zingers	4
1311	49	tackled meaty subject	3
1312	49	tackled	2
1314	49	meaty subject	3
1315	49	meaty	3
1316	49	subject	2
1317	49	drawn engaging characters peppering pages memorable zingers	3
1318	49	drawn engaging characters	4
1319	49	drawn	2
1320	49	engaging characters	3
1321	49	engaging	4
1322	49	characters	2
1324	49	peppering pages memorable zingers	3
1325	49	peppering pages	2
1326	49	peppering	2
1328	49	pages	2
1330	49	memorable zingers	3
1331	49	memorable	4
1332	49	zingers	2
1333	50	bloody sunday grace call prevention rather place blame making one best war movies ever made	4
1334	50	bloody sunday	2
1335	50	bloody	1
1336	50	sunday	2
1340	50	grace call prevention rather place blame making one best war movies ever made	4
1341	50	grace	3
1343	50	call prevention rather place blame making one best war movies ever made	4
1345	50	call prevention rather place blame	2
1346	50	call	2
1347	50	prevention rather place blame	2
1348	50	prevention rather	2
1350	50	prevention	2
1351	50	rather	2
1353	50	place blame	2
1354	50	place	2
1355	50	blame	2
1356	50	making one best war movies ever made	4
1357	50	making	2
1359	50	one best war movies ever made	4
1361	50	best war movies ever made	4
1363	50	best war movies	4
1364	50	war movies	1
1365	50	war	1
1366	50	ever made	2
1367	50	ever	2
1368	50	made	2
1370	51	takes clunky tv-movie approach detailing chapter life celebrated irish playwright poet drinker	1
1371	51	clunky tv-movie approach detailing chapter life celebrated irish playwright poet drinker	1
1373	51	clunky tv-movie approach	0
1374	51	clunky tv-movie	1
1375	51	clunky	1
1376	51	tv-movie	2
1377	51	approach	2
1379	51	detailing chapter life celebrated irish playwright poet drinker	2
1380	51	detailing chapter	2
1381	51	detailing	3
1383	51	chapter	2
1385	51	life celebrated irish playwright poet drinker	2
1387	51	life	3
1390	51	celebrated irish playwright poet drinker	2
1391	51	celebrated	3
1392	51	irish playwright poet drinker	2
1393	51	irish	2
1394	51	playwright poet drinker	2
1395	51	playwright	2
1397	51	poet drinker	2
1399	51	poet	2
1400	51	drinker	2
1401	52	finally coming miramax 's deep shelves couple aborted attempts waking reno makes strong case letting sleeping dogs lie	2
1402	52	finally	2
1404	52	coming miramax 's deep shelves couple aborted attempts waking reno makes strong case letting sleeping dogs lie	1
1405	52	coming miramax 's deep shelves couple aborted attempts waking reno makes	1
1406	52	coming miramax 's deep shelves couple aborted attempts waking reno	1
1408	52	coming miramax 's deep shelves couple aborted attempts	2
1409	52	coming miramax 's deep shelves	2
1411	52	coming	2
1415	52	miramax 's deep shelves	2
1416	52	miramax 's	2
1417	52	miramax	2
1418	52	deep shelves	2
1419	52	deep	2
1420	52	shelves	2
1423	52	couple aborted attempts	1
1425	52	couple	2
1427	52	aborted attempts	1
1428	52	aborted	2
1429	52	attempts	2
1430	52	waking reno	2
1432	52	waking	2
1434	52	reno	2
1435	52	strong case letting sleeping dogs lie	1
1437	52	strong case	3
1438	52	strong	3
1440	52	letting sleeping dogs lie	2
1441	52	letting	2
1442	52	sleeping dogs lie	2
1443	52	sleeping dogs	2
1444	52	sleeping	2
1445	52	lie	1
1447	53	thanks largely williams interesting developments processed minutes rest overexposed waste film	1
1449	53	thanks largely williams interesting developments processed minutes	3
1450	53	thanks largely williams	2
1451	53	thanks largely	3
1452	53	thanks	2
1453	53	largely	2
1455	53	williams	2
1457	53	interesting developments processed minutes	2
1460	53	interesting developments	3
1461	53	interesting	3
1462	53	developments	2
1464	53	processed minutes	2
1465	53	processed	2
1467	53	minutes	2
1469	53	rest overexposed waste film	0
1471	53	rest	2
1474	53	overexposed waste film	0
1476	53	overexposed waste	1
1477	53	overexposed	1
1478	53	waste	1
1479	53	film	2
1481	54	comes across relic bygone era convolutions feel silly rather plausible	1
1482	54	comes across	2
1483	54	comes	2
1484	54	across	2
1486	54	relic bygone era convolutions feel silly rather plausible	1
1488	54	relic bygone era convolutions feel	2
1489	54	relic bygone era convolutions	1
1490	54	relic	2
1493	54	bygone era convolutions	2
1497	54	bygone era	2
1498	54	bygone	2
1499	54	era	2
1501	54	convolutions	2
1502	54	silly rather plausible	1
1503	54	silly rather	1
1504	54	silly	3
1505	54	plausible	2
1509	55	perhaps 's cliche call film refreshing '	3
1511	55	perhaps 's cliche call film refreshing	3
1512	55	perhaps	2
1514	55	's cliche call film refreshing	1
1515	55	cliche call film refreshing	2
1516	55	cliche	1
1518	55	call film refreshing	3
1519	55	film refreshing	2
